LOCATION,short_rate(t),term_rate(t),short_rate(t+5y),term_rate(t+5y)
USA,6.260000,8.230000,16.140000,11.470000
USA,5.790000,8.060000,9.790000,10.180000
USA,5.820000,7.860000,8.490000,9.780000
USA,6.550000,8.060000,8.650000,10.250000
USA,6.870000,8.400000,9.910000,11.100000
USA,7.030000,8.430000,11.290000,11.510000
USA,6.560000,8.140000,12.940000,11.750000
USA,6.260000,8.050000,15.680000,12.680000
USA,6.030000,8.000000,18.650000,12.840000
USA,5.140000,7.740000,17.190000,12.570000
USA,5.180000,7.790000,16.140000,13.190000
USA,5.340000,7.730000,14.430000,13.120000
USA,5.120000,7.560000,15.080000,13.680000
USA,5.560000,7.900000,18.270000,14.100000
USA,5.840000,7.860000,16.900000,13.470000
USA,5.520000,7.830000,17.760000,14.280000
USA,5.390000,7.770000,17.960000,14.940000
USA,5.330000,7.590000,16.840000,15.320000
USA,5.120000,7.410000,15.390000,15.150000
USA,5.010000,7.290000,12.480000,13.390000
USA,4.670000,6.870000,12.490000,13.720000
USA,4.830000,7.210000,13.510000,14.590000
USA,4.830000,7.390000,15.000000,14.430000
USA,4.840000,7.460000,14.210000,13.860000
USA,4.800000,7.370000,14.440000,13.870000
USA,5.360000,7.460000,13.800000,13.620000
USA,5.420000,7.280000,14.460000,14.300000
USA,5.460000,7.330000,13.440000,13.950000
USA,5.900000,7.400000,10.610000,13.060000
USA,6.190000,7.340000,10.660000,12.340000
USA,6.670000,7.520000,9.510000,10.910000
USA,6.680000,7.580000,8.950000,10.550000
USA,6.710000,7.690000,8.660000,10.540000
USA,6.940000,7.960000,8.360000,10.460000
USA,6.900000,8.030000,8.540000,10.720000
USA,6.860000,8.040000,8.690000,10.510000
USA,7.030000,8.150000,8.630000,10.400000
USA,7.400000,8.350000,8.490000,10.380000
USA,7.830000,8.460000,9.200000,10.850000
USA,8.120000,8.640000,9.500000,11.380000
USA,8.060000,8.410000,9.770000,11.850000
USA,8.640000,8.420000,9.390000,11.650000
USA,9.440000,8.640000,9.180000,11.540000
USA,10.720000,8.810000,9.360000,11.690000
USA,10.720000,9.010000,9.690000,11.830000
USA,10.510000,9.100000,9.420000,11.670000
USA,10.190000,9.100000,9.540000,11.840000
USA,10.130000,9.120000,10.080000,12.320000
USA,10.060000,9.180000,10.410000,12.630000
USA,10.160000,9.250000,11.110000,13.410000
USA,9.950000,8.910000,11.340000,13.560000
USA,10.110000,8.950000,11.560000,13.360000
USA,10.710000,9.030000,11.470000,12.720000
USA,11.890000,9.330000,11.290000,12.520000
USA,13.660000,10.300000,10.380000,12.160000
USA,13.900000,10.650000,9.180000,11.570000
USA,13.430000,10.390000,8.600000,11.500000
USA,13.390000,10.800000,8.140000,11.380000
USA,14.300000,12.410000,8.690000,11.510000
USA,17.570000,12.750000,9.020000,11.860000
USA,16.140000,11.470000,8.490000,11.430000
USA,9.790000,10.180000,7.920000,10.850000
USA,8.490000,9.780000,7.440000,10.160000
USA,8.650000,10.250000,7.640000,10.310000
USA,9.910000,11.100000,7.810000,10.330000
USA,11.290000,11.510000,7.930000,10.370000
USA,12.940000,11.750000,7.880000,10.240000
USA,15.680000,12.680000,7.810000,9.780000
USA,18.650000,12.840000,7.800000,9.260000
USA,17.190000,12.570000,7.820000,9.190000
USA,16.140000,13.190000,7.690000,8.700000
USA,14.430000,13.120000,7.240000,7.780000
USA,15.080000,13.680000,6.600000,7.300000
USA,18.270000,14.100000,6.650000,7.710000
USA,16.900000,13.470000,6.730000,7.800000
USA,17.760000,14.280000,6.370000,7.300000
USA,17.960000,14.940000,5.920000,7.170000
USA,16.840000,15.320000,5.710000,7.450000
USA,15.390000,15.150000,5.690000,7.430000
USA,12.480000,13.390000,5.760000,7.250000
USA,12.490000,13.720000,6.040000,7.110000
USA,13.510000,14.590000,5.870000,7.080000
USA,15.000000,14.430000,6.100000,7.250000
USA,14.210000,13.860000,6.170000,7.250000
USA,14.440000,13.870000,6.520000,8.020000
USA,13.800000,13.620000,6.990000,8.610000
USA,14.460000,14.300000,6.940000,8.400000
USA,13.440000,13.950000,6.700000,8.450000
USA,10.610000,13.060000,6.750000,8.760000
USA,10.660000,12.340000,7.370000,9.420000
USA,9.510000,10.910000,8.020000,9.520000
USA,8.950000,10.550000,7.240000,8.860000
USA,8.660000,10.540000,7.660000,8.990000
USA,8.360000,10.460000,6.920000,8.670000
USA,8.540000,10.720000,6.600000,8.210000
USA,8.690000,10.510000,6.630000,8.370000
USA,8.630000,10.400000,6.920000,8.720000
USA,8.490000,10.380000,7.240000,9.090000
USA,9.200000,10.850000,7.510000,8.920000
USA,9.500000,11.380000,7.940000,9.060000
USA,9.770000,11.850000,8.350000,9.260000
USA,9.390000,11.650000,8.230000,8.980000
USA,9.180000,11.540000,8.360000,8.800000
USA,9.360000,11.690000,8.780000,8.960000
USA,9.690000,11.830000,9.250000,9.110000
USA,9.420000,11.670000,9.200000,9.090000
USA,9.540000,11.840000,9.510000,9.170000
USA,10.080000,12.320000,10.090000,9.360000
USA,10.410000,12.630000,9.940000,9.180000
USA,11.110000,13.410000,9.590000,8.860000
USA,11.340000,13.560000,9.200000,8.280000
USA,11.560000,13.360000,8.760000,8.020000
USA,11.470000,12.720000,8.640000,8.110000
USA,11.290000,12.520000,8.780000,8.190000
USA,10.380000,12.160000,8.600000,8.010000
USA,9.180000,11.570000,8.390000,7.870000
USA,8.600000,11.500000,8.320000,7.840000
USA,8.140000,11.380000,8.160000,8.210000
USA,8.690000,11.510000,8.220000,8.470000
USA,9.020000,11.860000,8.350000,8.590000
USA,8.490000,11.430000,8.420000,8.790000
USA,7.920000,10.850000,8.350000,8.760000
USA,7.440000,10.160000,8.230000,8.480000
USA,7.640000,10.310000,8.100000,8.470000
USA,7.810000,10.330000,7.970000,8.750000
USA,7.930000,10.370000,8.060000,8.890000
USA,7.880000,10.240000,8.060000,8.720000
USA,7.810000,9.780000,8.030000,8.390000
USA,7.800000,9.260000,7.820000,8.080000
USA,7.820000,9.190000,7.170000,8.090000
USA,7.690000,8.700000,6.520000,7.850000
USA,7.240000,7.780000,6.450000,8.110000
USA,6.600000,7.300000,6.060000,8.040000
USA,6.650000,7.710000,5.910000,8.070000
USA,6.730000,7.800000,6.070000,8.280000
USA,6.370000,7.300000,5.980000,8.270000
USA,5.920000,7.170000,5.650000,7.900000
USA,5.710000,7.450000,5.470000,7.650000
USA,5.690000,7.430000,5.330000,7.530000
USA,5.760000,7.250000,4.940000,7.420000
USA,6.040000,7.110000,4.470000,7.090000
USA,5.870000,7.080000,4.050000,7.030000
USA,6.100000,7.250000,4.070000,7.340000
USA,6.170000,7.250000,4.250000,7.540000
USA,6.520000,8.020000,4.000000,7.480000
USA,6.990000,8.610000,3.820000,7.390000
USA,6.940000,8.400000,3.860000,7.260000
USA,6.700000,8.450000,3.370000,6.840000
USA,6.750000,8.760000,3.310000,6.590000
USA,7.370000,9.420000,3.130000,6.420000
USA,8.020000,9.520000,3.260000,6.590000
USA,7.240000,8.860000,3.580000,6.870000
USA,7.660000,8.990000,3.480000,6.770000
USA,6.920000,8.670000,3.190000,6.600000
USA,6.600000,8.210000,3.120000,6.260000
USA,6.630000,8.370000,3.110000,5.980000
USA,6.920000,8.720000,3.090000,5.970000
USA,7.240000,9.090000,3.100000,6.040000
USA,7.510000,8.920000,3.210000,5.960000
USA,7.940000,9.060000,3.160000,5.810000
USA,8.350000,9.260000,3.140000,5.680000
USA,8.230000,8.980000,3.120000,5.360000
USA,8.360000,8.800000,3.240000,5.330000
USA,8.780000,8.960000,3.350000,5.720000
USA,9.250000,9.110000,3.260000,5.770000
USA,9.200000,9.090000,3.150000,5.750000
USA,9.510000,9.170000,3.430000,5.970000
USA,10.090000,9.360000,3.770000,6.480000
USA,9.940000,9.180000,4.010000,6.970000
USA,9.590000,8.860000,4.510000,7.180000
USA,9.200000,8.280000,4.520000,7.100000
USA,8.760000,8.020000,4.730000,7.300000
USA,8.640000,8.110000,4.810000,7.240000
USA,8.780000,8.190000,5.030000,7.460000
USA,8.600000,8.010000,5.510000,7.740000
USA,8.390000,7.870000,5.790000,7.960000
USA,8.320000,7.840000,6.290000,7.810000
USA,8.160000,8.210000,6.240000,7.780000
USA,8.220000,8.470000,6.160000,7.470000
USA,8.350000,8.590000,6.150000,7.200000
USA,8.420000,8.790000,6.110000,7.060000
USA,8.350000,8.760000,6.020000,6.630000
USA,8.230000,8.480000,5.900000,6.170000
USA,8.100000,8.470000,5.770000,6.280000
USA,7.970000,8.750000,5.770000,6.490000
USA,8.060000,8.890000,5.730000,6.200000
USA,8.060000,8.720000,5.790000,6.040000
USA,8.030000,8.390000,5.740000,5.930000
USA,7.820000,8.080000,5.620000,5.710000
USA,7.170000,8.090000,5.390000,5.650000
USA,6.520000,7.850000,5.150000,5.810000
USA,6.450000,8.110000,5.290000,6.270000
USA,6.060000,8.040000,5.360000,6.510000
USA,5.910000,8.070000,5.360000,6.740000
USA,6.070000,8.280000,5.460000,6.910000
USA,5.980000,8.270000,5.530000,6.870000
USA,5.650000,7.900000,5.400000,6.640000
USA,5.470000,7.650000,5.510000,6.830000
USA,5.330000,7.530000,5.410000,6.530000
USA,4.940000,7.420000,5.380000,6.200000
USA,4.470000,7.090000,5.440000,6.300000
USA,4.050000,7.030000,5.430000,6.580000
USA,4.070000,7.340000,5.370000,6.420000
USA,4.250000,7.540000,5.530000,6.690000
USA,4.000000,7.480000,5.710000,6.890000
USA,3.820000,7.390000,5.700000,6.710000
USA,3.860000,7.260000,5.660000,6.490000
USA,3.370000,6.840000,5.600000,6.220000
USA,3.310000,6.590000,5.600000,6.300000
USA,3.130000,6.420000,5.600000,6.210000
USA,3.260000,6.590000,5.650000,6.030000
USA,3.580000,6.870000,5.740000,5.880000
USA,3.480000,6.770000,5.800000,5.810000
USA,3.190000,6.600000,5.540000,5.540000
USA,3.120000,6.260000,5.540000,5.570000
USA,3.110000,5.980000,5.580000,5.650000
USA,3.090000,5.970000,5.580000,5.640000
USA,3.100000,6.040000,5.590000,5.650000
USA,3.210000,5.960000,5.600000,5.500000
USA,3.160000,5.810000,5.590000,5.460000
USA,3.140000,5.680000,5.580000,5.340000
USA,3.120000,5.360000,5.410000,4.810000
USA,3.240000,5.330000,5.210000,4.530000
USA,3.350000,5.720000,5.240000,4.830000
USA,3.260000,5.770000,5.140000,4.650000
USA,3.150000,5.750000,4.890000,4.720000
USA,3.430000,5.970000,4.900000,5.000000
USA,3.770000,6.480000,4.910000,5.230000
USA,4.010000,6.970000,4.880000,5.180000
USA,4.510000,7.180000,4.920000,5.540000
USA,4.520000,7.100000,5.130000,5.900000
USA,4.730000,7.300000,5.240000,5.790000
USA,4.810000,7.240000,5.410000,5.940000
USA,5.030000,7.460000,5.500000,5.920000
USA,5.510000,7.740000,6.130000,6.110000
USA,5.790000,7.960000,6.000000,6.030000
USA,6.290000,7.810000,6.050000,6.280000
USA,6.240000,7.780000,5.950000,6.660000
USA,6.160000,7.470000,6.010000,6.520000
USA,6.150000,7.200000,6.140000,6.260000
USA,6.110000,7.060000,6.280000,5.990000
USA,6.020000,6.630000,6.710000,6.440000
USA,5.900000,6.170000,6.730000,6.100000
USA,5.770000,6.280000,6.670000,6.050000
USA,5.770000,6.490000,6.610000,5.830000
USA,5.730000,6.200000,6.600000,5.800000
USA,5.790000,6.040000,6.670000,5.740000
USA,5.740000,5.930000,6.650000,5.720000
USA,5.620000,5.710000,6.450000,5.240000
USA,5.390000,5.650000,5.620000,5.160000
USA,5.150000,5.810000,5.260000,5.100000
USA,5.290000,6.270000,4.890000,4.890000
USA,5.360000,6.510000,4.530000,5.140000
USA,5.360000,6.740000,4.020000,5.390000
USA,5.460000,6.910000,3.740000,5.280000
USA,5.530000,6.870000,3.660000,5.240000
USA,5.400000,6.640000,3.480000,4.970000
USA,5.510000,6.830000,2.870000,4.730000
USA,5.410000,6.530000,2.310000,4.570000
USA,5.380000,6.200000,2.030000,4.650000
USA,5.440000,6.300000,1.830000,5.090000
USA,5.430000,6.580000,1.740000,5.040000
USA,5.370000,6.420000,1.820000,4.910000
