"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","LTINT","TOT","PC_PA","M","1980-05",16.03331,
"IRL","LTINT","TOT","PC_PA","M","1980-06",14.87501,
"IRL","LTINT","TOT","PC_PA","M","1980-07",14.30602,
"IRL","LTINT","TOT","PC_PA","M","1980-08",14.7226,
"IRL","LTINT","TOT","PC_PA","M","1980-09",14.80389,
"IRL","LTINT","TOT","PC_PA","M","1980-10",15.0071,
"IRL","LTINT","TOT","PC_PA","M","1980-11",15.14935,
"IRL","LTINT","TOT","PC_PA","M","1980-12",15.88091,
"IRL","LTINT","TOT","PC_PA","M","1981-01",16.38893,
"IRL","LTINT","TOT","PC_PA","M","1981-02",16.24668,
"IRL","LTINT","TOT","PC_PA","M","1981-03",16.43973,
"IRL","LTINT","TOT","PC_PA","M","1981-04",16.86648,
"IRL","LTINT","TOT","PC_PA","M","1981-05",17.26274,
"IRL","LTINT","TOT","PC_PA","M","1981-06",17.58787,
"IRL","LTINT","TOT","PC_PA","M","1981-07",17.71996,
"IRL","LTINT","TOT","PC_PA","M","1981-08",17.89269,
"IRL","LTINT","TOT","PC_PA","M","1981-09",18.51248,
"IRL","LTINT","TOT","PC_PA","M","1981-10",18.5328,
"IRL","LTINT","TOT","PC_PA","M","1981-11",18.45152,
"IRL","LTINT","TOT","PC_PA","M","1981-12",18.63441,
"IRL","LTINT","TOT","PC_PA","M","1982-01",19.41677,
"IRL","LTINT","TOT","PC_PA","M","1982-02",19.46757,
"IRL","LTINT","TOT","PC_PA","M","1982-03",19.13227,
"IRL","LTINT","TOT","PC_PA","M","1982-04",18.57344,
"IRL","LTINT","TOT","PC_PA","M","1982-05",18.57344,
"IRL","LTINT","TOT","PC_PA","M","1982-06",18.87826,
"IRL","LTINT","TOT","PC_PA","M","1982-07",17.60819,
"IRL","LTINT","TOT","PC_PA","M","1982-08",16.18572,
"IRL","LTINT","TOT","PC_PA","M","1982-09",15.41352,
"IRL","LTINT","TOT","PC_PA","M","1982-10",14.17394,
"IRL","LTINT","TOT","PC_PA","M","1982-11",15.7793,
"IRL","LTINT","TOT","PC_PA","M","1982-12",14.77341,
"IRL","LTINT","TOT","PC_PA","M","1983-01",15.22047,
"IRL","LTINT","TOT","PC_PA","M","1983-02",14.48891,
"IRL","LTINT","TOT","PC_PA","M","1983-03",14.1841,
"IRL","LTINT","TOT","PC_PA","M","1983-04",13.83864,
"IRL","LTINT","TOT","PC_PA","M","1983-05",13.72687,
"IRL","LTINT","TOT","PC_PA","M","1983-06",13.82848,
"IRL","LTINT","TOT","PC_PA","M","1983-07",14.03169,
"IRL","LTINT","TOT","PC_PA","M","1983-08",13.81832,
"IRL","LTINT","TOT","PC_PA","M","1983-09",13.94024,
"IRL","LTINT","TOT","PC_PA","M","1983-10",14.04185,
"IRL","LTINT","TOT","PC_PA","M","1983-11",13.94024,
"IRL","LTINT","TOT","PC_PA","M","1983-12",14.46859,
"IRL","LTINT","TOT","PC_PA","M","1984-01",14.16378,
"IRL","LTINT","TOT","PC_PA","M","1984-02",14.38731,
"IRL","LTINT","TOT","PC_PA","M","1984-03",14.30602,
"IRL","LTINT","TOT","PC_PA","M","1984-04",14.36699,
"IRL","LTINT","TOT","PC_PA","M","1984-05",14.7226,
"IRL","LTINT","TOT","PC_PA","M","1984-06",14.81405,
"IRL","LTINT","TOT","PC_PA","M","1984-07",15.12903,
"IRL","LTINT","TOT","PC_PA","M","1984-08",15.18999,
"IRL","LTINT","TOT","PC_PA","M","1984-09",15.22047,
"IRL","LTINT","TOT","PC_PA","M","1984-10",15.23063,
"IRL","LTINT","TOT","PC_PA","M","1984-11",15.4948,
"IRL","LTINT","TOT","PC_PA","M","1984-12",15.13919,
"IRL","LTINT","TOT","PC_PA","M","1985-01",15.08838,
"IRL","LTINT","TOT","PC_PA","M","1985-02",14.92582,
"IRL","LTINT","TOT","PC_PA","M","1985-03",14.30602,
"IRL","LTINT","TOT","PC_PA","M","1985-04",13.47286,
"IRL","LTINT","TOT","PC_PA","M","1985-05",13.23917,
"IRL","LTINT","TOT","PC_PA","M","1985-06",12.81243,
"IRL","LTINT","TOT","PC_PA","M","1985-07",11.99958,
"IRL","LTINT","TOT","PC_PA","M","1985-08",11.60332,
"IRL","LTINT","TOT","PC_PA","M","1985-09",11.88782,
"IRL","LTINT","TOT","PC_PA","M","1985-10",11.84718,
"IRL","LTINT","TOT","PC_PA","M","1985-11",12.38568,
"IRL","LTINT","TOT","PC_PA","M","1985-12",12.2536,
"IRL","LTINT","TOT","PC_PA","M","1986-01",12.48729,
"IRL","LTINT","TOT","PC_PA","M","1986-02",11.74557,
"IRL","LTINT","TOT","PC_PA","M","1986-03",10.4247,
"IRL","LTINT","TOT","PC_PA","M","1986-04",9.43913,
"IRL","LTINT","TOT","PC_PA","M","1986-05",9.449291,
"IRL","LTINT","TOT","PC_PA","M","1986-06",9.774427,
"IRL","LTINT","TOT","PC_PA","M","1986-07",10.16053,
"IRL","LTINT","TOT","PC_PA","M","1986-08",10.96321,
"IRL","LTINT","TOT","PC_PA","M","1986-09",11.90814,
"IRL","LTINT","TOT","PC_PA","M","1986-10",13.8996,
"IRL","LTINT","TOT","PC_PA","M","1986-11",13.4627,
"IRL","LTINT","TOT","PC_PA","M","1986-12",13.11724,
"IRL","LTINT","TOT","PC_PA","M","1987-01",12.73114,
"IRL","LTINT","TOT","PC_PA","M","1987-02",12.88355,
"IRL","LTINT","TOT","PC_PA","M","1987-03",12.15199,
"IRL","LTINT","TOT","PC_PA","M","1987-04",11.04449,
"IRL","LTINT","TOT","PC_PA","M","1987-05",10.72952,
"IRL","LTINT","TOT","PC_PA","M","1987-06",11.11562,
"IRL","LTINT","TOT","PC_PA","M","1987-07",11.25786,
"IRL","LTINT","TOT","PC_PA","M","1987-08",11.85734,
"IRL","LTINT","TOT","PC_PA","M","1987-09",11.41027,
"IRL","LTINT","TOT","PC_PA","M","1987-10",10.98353,
"IRL","LTINT","TOT","PC_PA","M","1987-11",10.49582,
"IRL","LTINT","TOT","PC_PA","M","1987-12",10.61775,
"IRL","LTINT","TOT","PC_PA","M","1988-01",10.46534,
"IRL","LTINT","TOT","PC_PA","M","1988-02",10.26213,
"IRL","LTINT","TOT","PC_PA","M","1988-03",9.977638,
"IRL","LTINT","TOT","PC_PA","M","1988-04",9.693144,
"IRL","LTINT","TOT","PC_PA","M","1988-05",9.733786,
"IRL","LTINT","TOT","PC_PA","M","1988-06",9.672822,
"IRL","LTINT","TOT","PC_PA","M","1988-07",9.561057,
