short_rate(t),short_rate(t+5y)
-0.057922,-0.464278
0.205032,-0.340791
0.76938,-0.02998
1.24608,-0.128887
1.640117,-0.10165
2.162652,1.883364
2.707482,2.540147
3.314964,3.027812
3.754738,1.828392
4.303567,1.643047
4.725812,1.535131
5.1957,2.205375
5.725,3.42325
6.22,3.3677
6.9,3.4928
7.24,4.37876
7.5,4.682
8.166667,4.745033
8.922,4.9392
9.2672,4.86922
9.8885,3.66805
10.3175,3.41085
10.701,3.3317
11.154833,3.693017
11.75,3.147875
12.706,2.6765
13.113,4.3
13.697,2.6267
4.109,6.7243
4.722143,7.195143
5.261185,11.371741
5.715583,5.876167
6.197667,5.705139
6.686706,8.727941
7.174091,8.996394
7.707692,8.266
8.2812,6.7539
8.7305,7.0436
9.230333,7.036667
9.608,10.3235
10.203571,6.437714
10.723333,7.865167
11.336,9.008286
11.778167,10.696917
12.310571,11.698286
12.575,9.5725
13.189,4.415
13.882167,5.491667
14.215889,5.711111
14.5705,5.445
15.166,5.266667
15.81,6.2
16.086,6.2
17.17,6.17
18.373333,6.2
18.57,6.2
2.226923,0.17
2.687727,1.573636
3.198125,2.231875
3.716667,2.203333
4.311765,4.581176
4.824026,5.214675
5.251143,4.810857
5.711636,6.227636
6.295897,6.123077
6.725714,6.285
7.3325,5.35875
7.696923,6.222692
8.189167,9.885
8.78,11.3725
9.240714,12.037857
9.704211,12.476316
10.195789,12.205263
10.768125,13.975625
11.290909,12.020909
11.748333,10.245
12.269167,12.606667
12.745714,12.4
13.222857,10.561429
13.779167,12.366667
14.145,8.5625
14.709,11.739
15.190833,10.9375
15.696667,11.726667
16.3,11.885
16.706,10.114
17.284286,10.075714
17.79,6.133333
18.24,8.646667
18.8075,13.07
19.56,12.19
21.39,15.08
21.75,10.54
-0.057922,-0.464278
0.205032,-0.340791
0.76938,-0.02998
1.24608,-0.128887
1.640117,-0.10165
2.162652,1.883364
2.707482,2.540147
3.307764,3.027812
3.744738,1.828392
4.287591,1.461464
4.760505,1.436923
5.168691,3.219855
5.739524,3.524652
6.224615,3.313842
6.6675,4.568988
7.155,5.6535
7.648,6.56
8.20375,6.5375
8.7025,16.2975
9.228571,14.074286
9.856667,9
10.221304,7.261739
10.664545,6.64
11.137778,7.715556
11.676,7.72
12.257778,8.001111
12.813333,9.833333
13.162,10.308
13.782,9.854
14.23,10.44
14.664,10.604
15.06,11.655
16.06,11.12
16.5,6.17
17.5,6.07
24.5,6.05
-0.07049,-0.47202
0.205032,-0.340791
0.76938,-0.02998
1.24608,-0.128887
1.640117,-0.10165
2.162652,1.883364
2.739418,2.933527
3.279669,3.17954
3.721809,2.612065
4.26731,3.874581
4.775967,2.0573
5.245018,5.434664
5.770769,7.545385
6.208696,6.391304
6.822222,6.374444
7.214286,5.47
7.67,4.3725
8.27875,4.46625
8.71,4.57
9.231333,3.361333
9.6,3.182222
10.13,5.42
10.56,5.71
-0.783329,-0.715786
-0.063,-0.6884
0.155142,0.066017
0.703928,1.470772
1.232916,2.855224
1.732615,2.544893
2.227413,2.561441
2.755457,1.506626
3.299395,2.592767
3.733897,6.010574
4.185374,4.124456
4.722905,5.086908
5.187942,5.789127
5.667133,5.006703
6.202425,2.886905
6.744059,4.038934
7.04065,4.12815
7.734375,3.033205
8.201969,2.643739
8.757294,2.454241
9.20093,2.778078
9.739538,3.701275
10.1112,3.2666
